1	13	14	17	12	100.1797985	219.1253369	157.1922446																		
2	4	5	2	1	-159.3851951	202.4312915	282.9326225																		
5	23	7	26	25	-229.0002383	83.50161025	262.1155079		диаметр мн-ва	0,1 м															
6	6	5	4	8	-208.8805739	235.3864369	273.9053901		Разница скоростей	10 см/мс															
16	27	19	20	14	30.16791319	-7.413948196	276.9657778		Порядок каналов(датчиков)	Три из 4 датчиков одинаковые															
18	3	6	1	15	-132.4981984	247.5519553	140.8590299																		
20	10	6	5	7	40.39451293	352.0137411	307.0583778																		
22	1	12	9	21	-29.44848755	55.59021215	209.7538904																		
23	23	24	2	4	-176.2353963	66.46406465	277.054781																		
25	4	1	5	2	-134.8711333	215.5557884	288.369952																		
26	15	10	6	5	44.54106882	317.8626875	190.1465952																		
31	4	1	5	3	-115.6044961	232.5418962	244.8750022																		
36	17	6	7	10	25.39972459	240.2358323	174.419516																		
51	1	22	21	12	-55.18309054	-19.88342945	198.7689055																		
59	1	22	21	12	-37.48001098	-6.985582839	199.9733813																		
79	15	17	13	3	53.46514893	341.4820195	152.0713684																		
80	3	6	1	17	-146.2449652	343.2312345	218.9172451																		
88	18	17	5	12	22.96228526	150.2944006	161.2704041																		
89	5	10	7	8	24.27290895	293.7230916	277.736617																		
113	4	1	5	17	-145.9407507	184.0935595	165.2802477																		
125	1	22	12	21	-58.86563987	108.605134	210.4459333																		
136	15	17	6	10	32.53998594	322.3087476	181.2966943																		
137	22	20	19	13	192.8041035	61.15022873	144.1214117																		
140	22	20	19	13	194.2712066	55.33623132	155.4713755																		
143	4	5	2	6	-157.4788171	223.7769974	254.0110647																		
146	11	10	13	12	212.3676724	277.5191346	185.2684917																		
154	17	13	15	23	52.55348916	101.5620954	147.2099458																		
160	15	6	5	10	29.47755611	299.7663471	187.0086657																		
162	5	2	7	4	-199.6676452	187.345032	294.6862115																		
163	27	14	18	17	33.91865622	58.33403268	191.3123487																		
169	15	10	6	5	42.80750804	292.0012315	188.8797285																		
173	26	1	25	2	-135.9607244	117.9452192	164.8654384																		
175	20	14	18	27	42.20899981	84.39904888	225.9638771																		
178	17	6	5	10	30.61768592	271.4082026	173.9383443																		
191	25	26	20	24	-50.68580913	114.2248671	305.4600074																		
196	15	17	3	10	62.66045732	312.5471181	183.4544457																		
204	15	11	13	3	108.9547443	361.9734565	170.5531622																		
206	14	18	17	27	40.06405919	93.15355282	165.3720112																		
211	4	5	2	6	-158.4634558	207.5428225	257.8065964																		
220	23	26	1	18	-202.1556337	47.04346303	171.8771523																		
221	10	5	2	7	21.72068853	340.7776793	296.4057596																		
222	1	22	12	21	-8.479556766	79.97892458	199.8061765																		
225	4	1	5	2	-126.7434799	213.0465484	275.7479249																		
228	23	7	26	5	-273.4135523	97.66383923	287.854138																		
230	20	14	27	17	55.30105642	64.12407715	212.9218813																		
231	27	19	20	14	33.94679528	-10.88642042	244.818301																		
235	19	27	20	14	53.97445773	-26.16344747	302.1871332																		
239	11	13	15	7	132.9391949	269.4556202	156.4899749																		
244	11	10	13	12	211.1113668	277.2346254	167.4392851																		
267	1	12	22	21	-53.85847726	137.4347863	251.1339949																		
270	21	25	24	26	62.75448414	-34.01629111	254.2644311																		
273	6	3	4	1	-196.2063132	288.9925376	285.6224709																		
276	6	8	9	11	-149.1673784	293.57986	229.2391042																		
288	1	12	22	10	-17.68196515	117.7440773	150.8685122																		
290	1	17	9	13	-91.94728279	239.0469666	248.054009																		
301	2	26	1	5	-151.9200298	161.1325584	191.2552057																		
303	4	1	5	17	-141.5318883	180.5996279	161.776021																		
308	6	5	10	8	23.74986225	313.9209165	261.9953359																		
316	15	6	5	10	29.96083885	299.5590093	187.1142457																		
338	24	23	26	7	-129.0699753	45.58496714	301.2200842																		
340	17	5	10	7	64.92561369	137.978429	158.1224432																		
344	17	13	5	6	16.66304093	230.5486157	158.7839573																		
346	22	21	26	24	53.37623177	44.90960018	250.5584122																		
349	9	6	8	5	-274.873627	249.3146601	241.1380953																		
354	1	22	12	21	-14.91105679	80.67395801	261.2170105																		
357	10	5	8	7	33.90957605	300.9738311	274.5169182																		
358	1	22	21	12	-40.84611093	-44.45660508	204.0723115																		
362	27	19	20	14	28.69398502	-5.246779713	276.5136763																		
375	1	12	9	21	-26.64808241	64.01049047	220.0343209																		
