691	2	1	9	10	166,6159802	25,06872698	468,1113123	78,275	140552
693	2	1	10	3	159,4972597	7,452528774	463,5391285	52,2	140823
695	11	20	12	19	126,8833056	364,0430015	432,6015578	62,275	140945
696	2	1	9	10	485,7568887	20,85743694	495,1442623	70,850006	141134
697	7	8	3	14	-274,6199892	130,8095286	480,5449222	51,824997	141653
698	7	8	3	14	-274,9321081	130,9320312	473,2941831	50,625	141781
699	1	10	5	2	65,39965396	25,48711925	405,9714979	58,325	141836
700	7	9	10	1	-244,0105198	111,3931751	179,10974	51,074997	142109
701	2	1	9	10	167,4296329	8,502323311	551,085547	75,25	142486
702	8	7	4	3	-305,5	82,5	5,71	63,775	143335
703	7	9	10	1	-244,7526882	112,432968	179,4108824	50,050003	143456
704	6	5	1	12	-3,308474756	81,93816062	124,0965349	49,274998	143934
705	8	7	4	14	-323,5274099	113,2789448	459,098038	53,6	144071
706	8	7	4	3	-305,5	82,5	3,73	48,175003	144507
707	7	9	10	1	-244,8433507	111,1872357	179,3102526	50,525	144650
710	9	2	3	1	448,8794349	86,65642312	455,4586002	49,4	145423
711	17	20	21	19	-225,9032706	584,2817971	126,6003863	47,875	145631
712	7	9	10	1	-444,8260443	111,5088419	179,1344782	52,575	145887
713	7	4	3	5	-459,2107359	88,0041612	486,0145355	56,175	145973
714	7	4	3	5	-458,911976	86,63594867	490,0704118	62,475002	146075
715	10	9	6	12	119,9756704	123,6775418	472,9056014	52	146343
716	7	5	3	9	-428,0507769	59,15532479	163,0068537	51,65	146389
717	7	5	3	9	-430,2196236	58,68693407	161,6119464	51,175003	146542
718	7	4	5	3	-403,06762	101,9961266	313,3987491	49,75	146597
719	6	5	1	12	-3,708114924	82,01404481	124,7795762	50,125	146717
721	15	1	5	12	2,649110506	170,2894768	72,22846652	48,449997	147164
723	11	12	20	14	460,1476356	375,2388294	203,235607	56,050003	149274
724	10	7	14	4	448,9632581	176,9647767	155,5100832	48,725	149368
725	10	7	14	4	51,84690933	175,589788	158,2209245	48,65	149393
726	10	9	12	2	120,6322124	173,2141158	483,0236829	54,55	149410
727	7	4	5	3	-418,937824	118,0984886	416,8169104	48,25	149582
729	7	4	3	9	-481,0766944	86,60840636	128,0459875	50,875	150009
730	7	4	5	3	-414,6451337	116,9002307	417,3115358	48,9	150205
731	7	9	10	1	-445,2156995	110,2219729	178,0095269	50,5	150247
733	9	2	3	1	241,2210647	93,21764545	274,0695195	49,975	151437
734	20	17	24	14	51,90336781	450,7899696	161,4244178	49,675	152413
735	2	1	9	10	166,3784886	9,932373901	526,9889618	61,425	152595
739	7	4	3	2	-489,5614186	85,0907745	123,0976549	49,75	153304
740	7	4	8	6	-429,0618054	102,5944007	389,8039335	52,6	154052
741	7	5	3	9	-430,2558894	56,00804106	159,6504041	49,5	155662
742	7	9	10	1	-244,9472604	109,4326609	177,5459129	48,449997	156020
